Fréquence (Hz)	Niveau (dB)
1851,855469	-88,499130
1854,547119	-89,332619
1857,238770	-87,701813
1859,930420	-88,067322
1862,622070	-88,692192
1865,313721	-88,185669
1868,005371	-88,491623
1870,697021	-88,608307
1873,388672	-87,874374
1876,080322	-87,736794
1878,771973	-88,979538
1881,463623	-88,387077
1884,155273	-88,233177
1886,846924	-88,080582
1889,538574	-88,429741
1892,230225	-88,440063
1894,921875	-87,601738
1897,613525	-87,522438
1900,305176	-88,191490
1902,996826	-87,146317
1905,688477	-86,798996
1908,380127	-87,849815
1911,071777	-88,396667
1913,763428	-88,176544
1916,455078	-88,069687
1919,146729	-88,446129
1921,838379	-87,196121
1924,530029	-88,268799
1927,221680	-88,465851
1929,913330	-87,951569
1932,604980	-89,445915
1935,296631	-91,129814
1937,988281	-88,567657
1940,679932	-89,210251
1943,371582	-88,912498
1946,063232	-88,517815
1948,754883	-88,161896
1951,446533	-88,254173
1954,138184	-88,389526
1956,829834	-89,669121
1959,521484	-89,011887
1962,213135	-88,361732
1964,904785	-88,303658
1967,596436	-87,759071
1970,288086	-87,191711
1972,979736	-89,152260
1975,671387	-88,369339
1978,363037	-89,642517
1981,054688	-90,187393
1983,746338	-88,644852
1986,437988	-88,022514
1989,129639	-88,006348
1991,821289	-88,581741
1994,512939	-89,432678
1997,204590	-89,083702
1999,896240	-88,046608
2002,587891	-86,916748
2005,279541	-89,036087
2007,971191	-88,709991
2010,662842	-88,974991
2013,354492	-89,028000
2016,046143	-88,932388
2018,737793	-87,515884
2021,429443	-87,594208
2024,121094	-88,347710
2026,812744	-88,236290
2029,504395	-87,946716
2032,196045	-88,458939
2034,887695	-88,462868
2037,579346	-88,547966
2040,270996	-88,469330
2042,962646	-88,187553
2045,654297	-88,693642
2048,345947	-89,136993
2051,037598	-88,662277
2053,729248	-88,128181
2056,420898	-86,841080
2059,112549	-86,510254
2061,804199	-88,293465
2064,495850	-89,198807
2067,187500	-89,320068
2069,879150	-89,885254
2072,570801	-88,483078
2075,262451	-86,942383
2077,954102	-87,451134
2080,645752	-88,814857
2083,337402	-89,279160
2086,029053	-88,453880
2088,720703	-88,269028
2091,412354	-88,777817
2094,104004	-89,054497
2096,795654	-88,670280
2099,487305	-88,107628
2102,178955	-89,901817
2104,870605	-90,152908
2107,562256	-88,955032
2110,253906	-88,791168
2112,945557	-88,095787
2115,637207	-87,178223
2118,328857	-87,310402
2121,020508	-88,910995
2123,712158	-87,314453
2126,403809	-88,655991
2129,095459	-88,424240
2131,787109	-87,889832
2134,478760	-88,435989
2137,170410	-87,876411
2139,862061	-89,278465
2142,553711	-90,120209
2145,245361	-90,098549
2147,937012	-89,269447
2150,628662	-88,406250
2153,320313	-89,587517
2156,011963	-89,559586
2158,703613	-88,765892
2161,395264	-88,640533
2164,086914	-88,720848
2166,778564	-88,628479
2169,470215	-88,630692
2172,161865	-87,476303
2174,853516	-87,675690
2177,545166	-88,051590
2180,236816	-88,048973
2182,928467	-87,066429
2185,620117	-86,304222
2188,311768	-88,350327
2191,003418	-89,775497
2193,695068	-90,490181
2196,386719	-89,564247
2199,078369	-90,003014
2201,770020	-89,189903
2204,461670	-88,548828
2207,153320	-88,461555
2209,844971	-90,370140
2212,536621	-89,800705
2215,228271	-89,091499
2217,919922	-89,781815
2220,611572	-89,491310
2223,303223	-87,487114
2225,994873	-87,656677
2228,686523	-87,511955
2231,378174	-88,152344
2234,069824	-89,490150
2236,761475	-88,539131
2239,453125	-87,712082
2242,144775	-89,980568
2244,836426	-90,355789
2247,528076	-90,192749
2250,219727	-88,869553
2252,911377	-87,625824
2255,603027	-87,942673
2258,294678	-89,713501
2260,986328	-90,049690
2263,677979	-88,616783
2266,369629	-87,423843
2269,061279	-87,319054
2271,752930	-88,887917
2274,444580	-89,406624
2277,136230	-88,128639
2279,827881	-89,320084
2282,519531	-89,552841
2285,211182	-88,764870
2287,902832	-88,216698
2290,594482	-87,629768
2293,286133	-87,059875
2295,977783	-86,961906
2298,669434	-88,477776
2301,361084	-89,551292
2304,052734	-88,422226
2306,744385	-88,937447
2309,436035	-89,133293
2312,127686	-88,649467
2314,819336	-88,257500
2317,510986	-88,044807
2320,202637	-87,509132
2322,894287	-87,837944
2325,585938	-88,824066
2328,277588	-89,247887
2330,969238	-87,429657
2333,660889	-86,949242
2336,352539	-88,251968
2339,044189	-88,921989
2341,735840	-89,863174
2344,427490	-89,954544
2347,119141	-86,951378
2349,810791	-86,937920
2352,502441	-88,251915
2355,194092	-89,323212
2357,885742	-89,359589
2360,577393	-89,408661
2363,269043	-89,923409
2365,960693	-91,851357
2368,652344	-91,511986
2371,343994	-90,154900
2374,035645	-88,218803
2376,727295	-88,545822
2379,418945	-87,990189
2382,110596	-87,899582
2384,802246	-88,746544
2387,493896	-88,461517
2390,185547	-87,849022
2392,877197	-88,477272
2395,568848	-87,275749
2398,260498	-87,860580
2400,952148	-88,501709
2403,643799	-89,542824
2406,335449	-89,010986
2409,027100	-88,579834
2411,718750	-88,287575
2414,410400	-88,457634
2417,102051	-88,394684
2419,793701	-89,220093
2422,485352	-90,148315
2425,177002	-90,657021
2427,868652	-89,289436
2430,560303	-88,941078
2433,251953	-89,852844
2435,943604	-88,951286
2438,635254	-88,596924
2441,326904	-90,634201
2444,018555	-91,038818
2446,710205	-89,390610
2449,401855	-89,419670
2452,093506	-89,268700
2454,785156	-90,146194
2457,476807	-89,662476
2460,168457	-89,457352
2462,860107	-90,290848
2465,551758	-90,363365
2468,243408	-89,624687
2470,935059	-89,480026
2473,626709	-88,317612
2476,318359	-88,657425
2479,010010	-89,171104
2481,701660	-89,149605
2484,393311	-88,502197
2487,084961	-88,017403
2489,776611	-88,839790
2492,468262	-88,902855
2495,159912	-88,999428
2497,851563	-89,005951
2500,543213	-89,240303
2503,234863	-88,407204
2505,926514	-88,842064
2508,618164	-89,434204
2511,309814	-89,255615
2514,001465	-88,577682
2516,693115	-89,741760
2519,384766	-89,651123
2522,076416	-88,676277
2524,768066	-88,718933
2527,459717	-89,818588
2530,151367	-88,486526
2532,843018	-88,612701
2535,534668	-89,268951
2538,226318	-89,548050
2540,917969	-89,099220
2543,609619	-88,389206
2546,301270	-88,035500
2548,992920	-88,660889
2551,684570	-89,038322
2554,376221	-88,720741
2557,067871	-89,015587
2559,759521	-90,105644
2562,451172	-89,314133
2565,142822	-88,460335
2567,834473	-89,010620
2570,526123	-89,101303
2573,217773	-87,957718
2575,909424	-90,596207
2578,601074	-90,563393
2581,292725	-89,555588
2583,984375	-89,339149
2586,676025	-89,728859
2589,367676	-89,768959
2592,059326	-88,533943
2594,750977	-89,789597
2597,442627	-90,787857
2600,134277	-89,407593
2602,825928	-88,723701
2605,517578	-89,713989
2608,209229	-90,588875
2610,900879	-89,862083
2613,592529	-88,689529
2616,284180	-88,639824
2618,975830	-88,726715
2621,667480	-88,447594
2624,359131	-89,487900
2627,050781	-88,620865
2629,742432	-88,399277
2632,434082	-88,288406
2635,125732	-88,667198
2637,817383	-88,738731
2640,509033	-88,325577
2643,200684	-89,233215
2645,892334	-88,147018
2648,583984	-88,510330
2651,275635	-90,224266
2653,967285	-90,241791
2656,658936	-90,682068
2659,350586	-90,051666
2662,042236	-90,259689
2664,733887	-90,287247
2667,425537	-88,553558
2670,117188	-88,765785
2672,808838	-90,490326
2675,500488	-90,131203
2678,192139	-89,576584
2680,883789	-89,853310
2683,575439	-89,775032
2686,267090	-89,921265
2688,958740	-88,993126
2691,650391	-88,465942
2694,342041	-88,516777
2697,033691	-89,632225
2699,725342	-89,932877
2702,416992	-89,331429
2705,108643	-89,789436
2707,800293	-89,874336
2710,491943	-89,323936
2713,183594	-89,488312
2715,875244	-90,004807
2718,566895	-89,836685
2721,258545	-89,988190
2723,950195	-89,417900
2726,641846	-88,892029
2729,333496	-89,295258
2732,025146	-89,348320
2734,716797	-89,853767
2737,408447	-92,016808
2740,100098	-89,100677
2742,791748	-88,983528
2745,483398	-89,912758
2748,175049	-89,983673
2750,866699	-88,565063
2753,558350	-89,870651
2756,250000	-89,183899
2758,941650	-89,286591
2761,633301	-89,878723
2764,324951	-89,476570
2767,016602	-88,545181
2769,708252	-89,471008
2772,399902	-89,589890
2775,091553	-89,786743
2777,783203	-88,935974
2780,474854	-88,320206
2783,166504	-89,022034
2785,858154	-89,778908
2788,549805	-89,053261
2791,241455	-89,588394
2793,933105	-89,150917
2796,624756	-89,542168
2799,316406	-89,613876
2802,008057	-89,772423
2804,699707	-89,531265
2807,391357	-89,863945
2810,083008	-91,071854
2812,774658	-90,455696
2815,466309	-89,703896
2818,157959	-90,051949
2820,849609	-90,191719
2823,541260	-89,684395
2826,232910	-89,416344
2828,924561	-89,425148
2831,616211	-90,122665
2834,307861	-90,440147
2836,999512	-88,143478
2839,691162	-88,723358
2842,382813	-89,778381
2845,074463	-89,546646
2847,766113	-89,142540
2850,457764	-89,120277
2853,149414	-90,143089
2855,841064	-90,282494
2858,532715	-89,573990
2861,224365	-89,598412
2863,916016	-91,389908
2866,607666	-90,022568
2869,299316	-88,953926
2871,990967	-90,522224
2874,682617	-89,628738
2877,374268	-88,655769
2880,065918	-89,586601
2882,757568	-90,120285
2885,449219	-91,292046
2888,140869	-89,105408
2890,832520	-88,866295
2893,524170	-88,783546
