Fréquence (Hz)	Niveau (dB)
1410,424805	-85,897224
1413,116455	-87,610588
1415,808105	-86,748825
1418,499756	-86,846512
1421,191406	-86,808548
1423,883057	-86,674179
1426,574707	-87,579605
1429,266357	-86,310043
1431,958008	-86,104271
1434,649658	-87,338959
1437,341309	-88,150482
1440,032959	-88,995758
1442,724609	-88,439232
1445,416260	-88,041153
1448,107910	-87,368614
1450,799561	-87,230133
1453,491211	-86,608315
1456,182861	-85,484863
1458,874512	-85,457527
1461,566162	-85,192680
1464,257813	-86,641769
1466,949463	-86,464279
1469,641113	-86,467545
1472,332764	-86,927757
1475,024414	-87,971809
1477,716064	-88,021095
1480,407715	-86,872459
1483,099365	-86,912971
1485,791016	-87,090927
1488,482666	-85,786385
1491,174316	-86,205498
1493,865967	-87,499214
1496,557617	-86,590073
1499,249268	-88,184250
1501,940918	-87,659477
1504,632568	-86,160400
1507,324219	-86,564384
1510,015869	-86,454552
1512,707520	-87,668213
1515,399170	-87,868629
1518,090820	-87,142914
1520,782471	-86,354729
1523,474121	-85,630043
1526,165771	-87,994064
1528,857422	-87,181480
1531,549072	-86,747841
1534,240723	-87,486588
1536,932373	-86,705437
1539,624023	-86,590263
1542,315674	-86,400566
1545,007324	-86,380531
1547,698975	-87,449562
1550,390625	-86,870636
1553,082275	-87,274567
1555,773926	-88,034943
1558,465576	-88,349617
1561,157227	-87,432800
1563,848877	-85,848412
1566,540527	-87,866478
1569,232178	-87,545486
1571,923828	-86,112762
1574,615479	-86,705368
1577,307129	-87,101814
1579,998779	-87,355034
1582,690430	-88,816376
1585,382080	-89,299194
1588,073730	-88,298859
1590,765381	-88,699409
1593,457031	-88,708450
1596,148682	-85,527458
1598,840332	-83,148582
1601,531982	-78,306427
1604,223633	-61,950909
1606,915283	-48,809006
1609,606934	-47,602089
1612,298584	-58,406906
1614,990234	-78,194069
1617,681885	-81,084778
1620,373535	-84,891441
1623,065186	-84,636269
1625,756836	-85,676842
1628,448486	-86,462776
1631,140137	-87,288612
1633,831787	-84,944733
1636,523438	-84,437317
1639,215088	-86,753845
1641,906738	-86,723373
1644,598389	-85,424965
1647,290039	-86,264824
1649,981689	-86,315804
1652,673340	-86,674103
1655,364990	-86,755035
1658,056641	-87,840660
1660,748291	-86,789650
1663,439941	-87,023476
1666,131592	-86,373589
1668,823242	-85,525436
1671,514893	-86,668991
1674,206543	-88,239998
1676,898193	-87,365646
1679,589844	-87,409805
1682,281494	-87,399246
1684,973145	-87,147156
1687,664795	-88,996460
1690,356445	-88,504257
1693,048096	-88,177628
1695,739746	-87,830376
1698,431396	-87,764748
1701,123047	-87,068932
1703,814697	-88,739265
1706,506348	-87,162384
1709,197998	-87,766724
1711,889648	-87,647339
1714,581299	-86,206108
1717,272949	-85,301208
1719,964600	-85,706825
1722,656250	-87,026054
1725,347900	-87,359192
1728,039551	-88,488617
1730,731201	-88,603867
1733,422852	-87,225014
1736,114502	-87,000412
1738,806152	-86,225281
1741,497803	-86,890518
1744,189453	-86,754684
1746,881104	-85,347282
1749,572754	-86,495689
1752,264404	-85,818230
1754,956055	-86,829781
1757,647705	-88,390915
1760,339355	-87,559517
1763,031006	-85,334267
1765,722656	-85,750427
1768,414307	-86,255127
1771,105957	-87,038773
1773,797607	-85,820229
1776,489258	-87,363464
1779,180908	-87,716156
1781,872559	-87,149994
1784,564209	-85,912018
1787,255859	-86,645096
1789,947510	-86,137848
1792,639160	-82,071243
1795,330811	-85,859802
1798,022461	-88,240555
1800,714111	-89,452454
1803,405762	-88,817123
1806,097412	-89,781105
1808,789063	-87,610245
1811,480713	-88,051506
1814,172363	-88,447609
1816,864014	-88,658989
1819,555664	-81,911346
1822,247314	-77,286003
1824,938965	-83,049843
1827,630615	-87,919426
1830,322266	-87,551468
1833,013916	-88,780655
1835,705566	-88,524315
1838,397217	-89,248032
1841,088867	-87,817963
1843,780518	-87,032661
1846,472168	-86,945282
1849,163818	-87,096695
1851,855469	-86,647591
1854,547119	-86,464333
1857,238770	-87,119957
1859,930420	-87,000664
1862,622070	-86,697189
1865,313721	-89,059052
1868,005371	-87,769585
1870,697021	-86,394936
1873,388672	-85,785042
1876,080322	-85,773262
1878,771973	-88,583084
1881,463623	-91,338852
1884,155273	-89,759300
1886,846924	-87,329033
1889,538574	-87,878311
1892,230225	-87,662689
1894,921875	-87,060135
1897,613525	-87,301682
1900,305176	-88,258629
1902,996826	-88,865463
1905,688477	-88,405716
1908,380127	-87,696411
1911,071777	-87,597511
1913,763428	-86,630241
1916,455078	-86,729164
1919,146729	-87,691238
1921,838379	-87,173386
1924,530029	-87,971115
1927,221680	-88,700035
1929,913330	-88,223557
1932,604980	-86,796844
1935,296631	-85,107452
1937,988281	-87,188423
1940,679932	-89,613182
1943,371582	-87,243370
1946,063232	-87,300026
1948,754883	-87,815361
1951,446533	-87,723183
1954,138184	-89,266129
1956,829834	-87,176292
1959,521484	-87,414223
1962,213135	-89,216507
1964,904785	-88,161880
1967,596436	-89,031425
1970,288086	-89,434273
1972,979736	-89,805359
1975,671387	-89,842949
1978,363037	-88,200737
1981,054688	-87,282089
1983,746338	-86,607788
1986,437988	-86,550026
1989,129639	-86,751717
1991,821289	-88,275879
1994,512939	-89,164459
1997,204590	-89,360474
1999,896240	-88,002861
2002,587891	-88,569221
2005,279541	-88,639885
2007,971191	-88,405800
2010,662842	-89,170013
2013,354492	-88,259903
2016,046143	-88,446297
2018,737793	-89,214828
2021,429443	-90,540840
2024,121094	-89,311852
2026,812744	-87,644279
2029,504395	-85,202255
2032,196045	-86,511398
2034,887695	-88,005341
2037,579346	-87,759590
2040,270996	-87,910545
2042,962646	-88,094978
2045,654297	-86,967552
2048,345947	-89,006676
2051,037598	-88,536697
2053,729248	-87,532455
2056,420898	-88,337448
2059,112549	-91,072861
2061,804199	-89,592407
2064,495850	-89,299988
2067,187500	-87,563774
2069,879150	-87,629562
2072,570801	-88,481018
2075,262451	-89,170319
2077,954102	-88,245064
2080,645752	-88,723198
2083,337402	-88,869606
2086,029053	-88,895569
2088,720703	-86,405067
2091,412354	-82,874039
2094,104004	-86,331940
2096,795654	-89,136749
2099,487305	-87,790565
2102,178955	-86,520973
2104,870605	-88,368622
2107,562256	-89,185127
2110,253906	-89,348465
2112,945557	-90,252533
2115,637207	-89,300789
2118,328857	-89,386436
2121,020508	-89,044937
2123,712158	-88,387115
2126,403809	-88,982948
2129,095459	-88,419106
2131,787109	-89,195557
2134,478760	-89,806046
2137,170410	-88,845642
2139,862061	-89,092911
2142,553711	-83,703323
2145,245361	-65,262169
2147,937012	-56,074360
2150,628662	-57,732677
2153,320313	-65,869675
2156,011963	-75,081543
2158,703613	-85,602852
2161,395264	-87,626862
2164,086914	-89,299767
2166,778564	-88,334900
2169,470215	-87,913017
2172,161865	-86,977608
2174,853516	-86,793434
2177,545166	-85,332428
2180,236816	-85,547600
2182,928467	-89,926323
2185,620117	-90,102646
2188,311768	-87,906715
2191,003418	-90,052765
2193,695068	-89,679344
2196,386719	-87,960915
2199,078369	-89,419090
2201,770020	-89,834114
2204,461670	-89,326256
2207,153320	-89,865410
2209,844971	-89,622993
2212,536621	-89,747513
2215,228271	-89,097557
2217,919922	-87,855659
2220,611572	-89,211357
2223,303223	-90,256073
2225,994873	-88,257889
2228,686523	-87,854019
2231,378174	-89,109291
2234,069824	-89,098541
2236,761475	-90,494896
2239,453125	-89,459290
2242,144775	-88,882866
2244,836426	-88,707657
2247,528076	-89,522522
2250,219727	-90,534546
2252,911377	-90,901222
2255,603027	-90,059349
2258,294678	-90,089401
2260,986328	-90,951256
2263,677979	-90,148537
2266,369629	-87,873985
2269,061279	-87,577484
2271,752930	-88,538322
2274,444580	-87,568069
2277,136230	-89,113548
2279,827881	-90,037476
2282,519531	-88,563049
2285,211182	-89,464188
2287,902832	-90,572891
2290,594482	-89,953964
2293,286133	-87,925888
2295,977783	-88,205429
2298,669434	-89,635559
2301,361084	-91,347176
2304,052734	-88,371399
2306,744385	-88,400047
2309,436035	-89,746132
2312,127686	-89,332680
2314,819336	-89,040100
2317,510986	-89,163605
2320,202637	-89,225937
2322,894287	-87,122574
2325,585938	-86,678925
2328,277588	-86,299095
2330,969238	-88,191414
2333,660889	-90,353127
2336,352539	-90,816498
2339,044189	-91,757401
2341,735840	-90,793381
2344,427490	-89,803383
2347,119141	-89,861130
2349,810791	-89,728577
2352,502441	-91,249535
2355,194092	-90,060371
2357,885742	-89,119415
2360,577393	-84,190880
2363,269043	-84,515862
2365,960693	-91,516090
2368,652344	-88,841904
2371,343994	-88,563988
2374,035645	-90,020950
2376,727295	-89,001472
2379,418945	-89,654976
2382,110596	-90,279305
2384,802246	-90,273651
2387,493896	-90,225632
2390,185547	-87,695503
2392,877197	-87,573608
2395,568848	-88,939171
2398,260498	-87,923569
2400,952148	-88,170853
2403,643799	-87,946465
2406,335449	-89,864258
2409,027100	-88,756462
2411,718750	-88,088821
2414,410400	-89,294479
2417,102051	-90,070625
2419,793701	-89,408714
2422,485352	-88,527702
2425,177002	-89,699631
2427,868652	-90,859207
2430,560303	-90,089935
2433,251953	-88,859833
2435,943604	-89,052719
2438,635254	-89,236275
2441,326904	-89,204369
2444,018555	-89,977020
2446,710205	-88,970886
2449,401855	-87,529503
2452,093506	-87,070358
2454,785156	-89,179001
2457,476807	-90,231049
2460,168457	-90,231781
2462,860107	-89,912849
2465,551758	-89,697021
2468,243408	-89,067513
2470,935059	-88,084770
2473,626709	-89,537415
2476,318359	-90,907814
2479,010010	-90,464508
2481,701660	-89,429428
2484,393311	-88,394508
2487,084961	-87,911842
2489,776611	-87,733498
2492,468262	-88,994644
2495,159912	-89,850212
2497,851563	-89,093025
2500,543213	-87,595146
2503,234863	-87,380936
2505,926514	-88,364372
2508,618164	-89,084953
2511,309814	-89,764557
2514,001465	-89,522758
2516,693115	-89,380524
2519,384766	-87,419319
2522,076416	-88,415855
2524,768066	-89,486572
2527,459717	-89,635887
2530,151367	-88,664040
2532,843018	-87,807350
2535,534668	-87,854927
2538,226318	-89,622452
2540,917969	-90,647728
2543,609619	-88,748177
2546,301270	-89,936600
2548,992920	-89,757515
2551,684570	-90,008202
2554,376221	-90,250183
2557,067871	-89,212326
2559,759521	-89,885254
2562,451172	-88,894478
2565,142822	-88,308540
2567,834473	-88,841797
2570,526123	-88,493164
2573,217773	-89,358932
2575,909424	-89,048180
2578,601074	-88,759399
2581,292725	-88,151382
2583,984375	-88,357628
2586,676025	-88,588730
2589,367676	-90,600677
2592,059326	-90,817780
2594,750977	-90,344994
2597,442627	-89,533394
2600,134277	-88,985489
2602,825928	-90,043694
2605,517578	-90,921082
2608,209229	-89,501480
2610,900879	-89,118645
2613,592529	-90,418549
2616,284180	-90,572502
2618,975830	-89,342316
2621,667480	-87,908722
2624,359131	-86,780281
2627,050781	-87,158249
2629,742432	-85,280922
2632,434082	-69,851204
2635,125732	-66,721855
2637,817383	-74,349686
2640,509033	-84,508171
2643,200684	-89,185684
2645,892334	-88,472435
2648,583984	-88,786446
2651,275635	-88,583008
2653,967285	-89,220497
2656,658936	-83,233009
2659,350586	-77,683540
2662,042236	-81,598701
2664,733887	-88,504219
2667,425537	-89,348274
2670,117188	-89,906036
2672,808838	-89,595367
2675,500488	-89,426537
2678,192139	-89,804611
2680,883789	-90,021164
2683,575439	-90,058319
2686,267090	-89,128471
2688,958740	-88,850296
2691,650391	-89,342766
2694,342041	-89,242065
2697,033691	-89,771751
2699,725342	-90,490868
2702,416992	-89,146263
2705,108643	-89,180550
2707,800293	-88,579880
2710,491943	-88,497948
2713,183594	-88,810036
2715,875244	-89,630577
2718,566895	-89,201904
2721,258545	-88,064529
2723,950195	-87,219849
2726,641846	-88,995888
2729,333496	-90,295410
2732,025146	-91,970352
2734,716797	-91,491043
2737,408447	-90,004387
2740,100098	-91,380219
2742,791748	-90,457054
2745,483398	-89,943520
2748,175049	-88,826019
2750,866699	-88,773094
2753,558350	-90,089828
2756,250000	-89,212654
2758,941650	-91,113625
2761,633301	-90,207817
2764,324951	-88,122063
2767,016602	-89,383377
2769,708252	-88,371819
2772,399902	-87,849182
2775,091553	-89,615555
2777,783203	-89,988823
2780,474854	-89,505608
2783,166504	-89,872887
2785,858154	-88,898636
2788,549805	-88,257484
2791,241455	-90,213348
2793,933105	-90,080246
2796,624756	-89,172562
2799,316406	-88,651909
2802,008057	-89,218895
2804,699707	-88,451302
2807,391357	-89,672226
2810,083008	-89,549965
2812,774658	-88,949760
2815,466309	-88,429008
2818,157959	-89,242058
2820,849609	-90,966225
2823,541260	-90,085999
2826,232910	-89,412651
2828,924561	-88,882057
2831,616211	-88,628128
2834,307861	-90,096191
2836,999512	-90,863266
2839,691162	-93,497757
2842,382813	-92,895065
2845,074463	-89,328239
2847,766113	-87,527603
2850,457764	-89,937424
2853,149414	-89,325279
2855,841064	-88,751343
2858,532715	-88,353630
2861,224365	-89,187439
2863,916016	-90,908653
2866,607666	-90,325935
2869,299316	-89,712074
2871,990967	-89,720901
2874,682617	-90,224213
2877,374268	-92,059486
2880,065918	-90,509293
2882,757568	-89,414635
2885,449219	-89,082481
2888,140869	-88,351105
2890,832520	-89,809074
2893,524170	-91,990005
2896,215820	-90,751068
2898,907471	-89,345032
2901,599121	-90,814041
2904,290771	-89,623245
2906,982422	-88,714241
2909,674072	-88,702789
2912,365723	-89,729019
2915,057373	-89,147820
2917,749023	-89,576622
2920,440674	-90,243820
2923,132324	-89,893059
2925,823975	-87,400452
2928,515625	-89,042854
2931,207275	-89,967888
2933,898926	-90,966194
2936,590576	-91,851196
2939,282227	-90,469131
2941,973877	-88,733521
2944,665527	-88,562355
2947,357178	-90,159538
2950,048828	-88,538414
2952,740479	-89,990044
2955,432129	-90,761032
2958,123779	-89,922081
2960,815430	-88,293213
2963,507080	-88,929329
2966,198730	-89,792053
2968,890381	-90,561981
2971,582031	-91,967316
2974,273682	-89,378929
2976,965332	-90,099678
2979,656982	-91,543121
2982,348633	-91,407433
2985,040283	-90,197083
2987,731934	-87,793732
2990,423584	-88,754539
2993,115234	-91,933846
2995,806885	-91,028786
2998,498535	-90,462997
3001,190186	-89,396500
3003,881836	-89,797173
3006,573486	-89,065140
3009,265137	-88,880676
3011,956787	-88,531815
3014,648438	-91,261749
3017,340088	-90,760956
3020,031738	-90,892097
3022,723389	-92,510582
3025,415039	-90,945229
3028,106689	-90,732941
3030,798340	-89,891823
3033,489990	-89,445999
3036,181641	-90,251205
3038,873291	-90,796761
3041,564941	-91,110222
3044,256592	-89,499413
3046,948242	-89,864754
3049,639893	-91,122421
3052,331543	-92,292847
3055,023193	-92,177490
3057,714844	-91,654221
3060,406494	-90,728386
3063,098145	-90,514168
3065,789795	-89,480629
3068,481445	-89,073578
3071,173096	-90,108299
3073,864746	-90,811523
3076,556396	-91,462845
3079,248047	-91,741020
3081,939697	-89,073624
3084,631348	-88,577911
3087,322998	-90,717751
3090,014648	-90,576920
3092,706299	-90,187111
3095,397949	-90,502510
3098,089600	-90,781166
3100,781250	-90,321014
3103,472900	-90,693878
3106,164551	-91,801880
3108,856201	-90,820229
3111,547852	-88,859093
3114,239502	-82,452072
3116,931152	-72,465523
3119,622803	-72,761452
3122,314453	-82,828941
3125,006104	-88,860931
3127,697754	-91,696266
3130,389404	-90,407341
3133,081055	-89,484314
3135,772705	-90,133545
3138,464355	-90,483955
3141,156006	-89,285995
3143,847656	-88,481613
3146,539307	-89,506050
3149,230957	-90,742012
3151,922607	-90,177391
3154,614258	-89,798935
3157,305908	-91,073814
3159,997559	-91,961060
3162,689209	-90,633057
3165,380859	-89,128143
3168,072510	-91,148300
3170,764160	-90,362541
3173,455811	-90,428841
3176,147461	-91,952835
3178,839111	-90,651505
3181,530762	-89,369743
3184,222412	-90,898239
3186,914063	-91,908211
3189,605713	-90,112679
3192,297363	-89,758812
3194,989014	-89,588387
3197,680664	-89,047562
3200,372314	-90,357040
3203,063965	-89,380104
